Symbol,Company Name,Industry,Series,ISIN Code
360ONE,,,EQ,
3MINDIA,,,EQ,
AADHARHFC,,,EQ,
AARTIIND,,,EQ,
AAVAS,,,EQ,
ABB,,,EQ,
ABBOTINDIA,,,EQ,
ABCAPITAL,,,EQ,
ABDL,,,EQ,
ABFRL,,,EQ,
ABLBL,,,EQ,
ABREL,,,EQ,
ABSLAMC,,,EQ,
ACC,,,EQ,
ACE,,,EQ,
ACMESOLAR,,,EQ,
ACUTAAS,,,EQ,
ADANIENSOL,,,EQ,
ADANIENT,Adani Enterprises,,EQ,
ADANIGREEN,,,EQ,
ADANIPORTS,Adani Ports,,EQ,
ADANIPOWER,,,EQ,
AEGISLOG,,,EQ,
AEGISVOPAK,,,EQ,
AFCONS,,,EQ,
AFFLE,,,EQ,
AGARWALEYE,,,EQ,
AIAENG,,,EQ,
AIIL,,,EQ,
AJANTPHARM,,,EQ,
AKUMS,,,EQ,
AKZOINDIA,,,EQ,
ALKEM,,,EQ,
ALKYLAMINE,,,EQ,
ALOKINDS,,,EQ,
AMBER,,,EQ,
AMBUJACEM,,,EQ,
ANANDRATHI,,,EQ,
ANANTRAJ,,,EQ,
ANGELONE,,,EQ,
ANTHEM,,,EQ,
ANURAS,,,EQ,
APARINDS,,,EQ,
APLAPOLLO,,,EQ,
APLLTD,,,EQ,
APOLLOHOSP,Apollo Hospitals,,EQ,
APOLLOTYRE,,,EQ,
APTUS,,,EQ,
AREM,,,EQ,
ASAHIINDIA,,,EQ,
ASHOKLEY,,,EQ,
ASIANPAINT,Asian Paints,,EQ,
ASTERDM,,,EQ,
ASTRAL,,,EQ,
ASTRAZEN,,,EQ,
ATGL,,,EQ,
ATHERENERG,,,EQ,
ATUL,,,EQ,
AUBANK,,,EQ,
AUROPHARMA,,,EQ,
AWL,,,EQ,
AXISBANK,Axis Bank,,EQ,
BAJAJ-AUTO,Bajaj Auto,,EQ,
BAJAJFINSV,Bajaj Finserv,,EQ,
BAJAJHFL,,,EQ,
BAJAJHLDNG,,,EQ,
BAJFINANCE,Bajaj Finance,,EQ,
BALKRISIND,,,EQ,
BALRAMCHIN,,,EQ,
BANDHANBNK,,,EQ,
BANKBARODA,,,EQ,
BANKINDIA,,,EQ,
BASF,,,EQ,
BATAINDIA,,,EQ,
BAYERCROP,,,EQ,
BBTC,,,EQ,
BDL,,,EQ,
BEL,Bharat Electronics BEL,,EQ,
BELRISE,,,EQ,
BEML,,,EQ,
BERGEPAINT,,,EQ,
BHARATFORG,,,EQ,
BHARTIARTL,Bharti Airtel,,EQ,
BHARTIHEXA,,,EQ,
BHEL,,,EQ,
BIKAJI,,,EQ,
BIOCON,,,EQ,
BLS,,,EQ,
BLUEDART,,,EQ,
BLUEJET,,,EQ,
BLUESTARCO,,,EQ,
BOSCHLTD,,,EQ,
BPCL,,,EQ,
BRIGADE,,,EQ,
BRITANNIA,,,EQ,
BSE,,,EQ,
BSOFT,,,EQ,
CAMPUS,,,EQ,
CAMS,,,EQ,
CANBK,,,EQ,
CANFINHOME,,,EQ,
CANHLIFE,,,EQ,
CAPLIPOINT,,,EQ,
CARBORUNIV,,,EQ,
CARTRADE,,,EQ,
CASTROLIND,,,EQ,
CCL,,,EQ,
CDSL,,,EQ,
CEATLTD,,,EQ,
CEMPRO,,,EQ,
CENTRALBK,,,EQ,
CENTURYPLY,,,EQ,
CERA,,,EQ,
CESC,,,EQ,
CGCL,,,EQ,
CGPOWER,,,EQ,
CHALET,,,EQ,
CHAMBLFERT,,,EQ,
CHENNPETRO,,,EQ,
CHOICEIN,,,EQ,
CHOLAFIN,,,EQ,
CHOLAHLDNG,,,EQ,
CIPLA,Cipla,,EQ,
CLEAN,,,EQ,
COALINDIA,Coal India,,EQ,
COCHINSHIP,,,EQ,
COFORGE,,,EQ,
COHANCE,,,EQ,
COLPAL,,,EQ,
CONCOR,,,EQ,
CONCORDBIO,,,EQ,
COROMANDEL,,,EQ,
CPPLUS,,,EQ,
CRAFTSMAN,,,EQ,
CREDITACC,,,EQ,
CRISIL,,,EQ,
CROMPTON,,,EQ,
CUB,,,EQ,
CUMMINSIND,,,EQ,
CYIENT,,,EQ,
DABUR,,,EQ,
DALBHARAT,,,EQ,
DATAPATTNS,,,EQ,
DBREALTY,,,EQ,
DCMSHRIRAM,,,EQ,
DEEPAKFERT,,,EQ,
DEEPAKNTR,,,EQ,
DELHIVERY,,,EQ,
DEVYANI,,,EQ,
DIVISLAB,,,EQ,
DIXON,,,EQ,
DLF,,,EQ,
DMART,,,EQ,
DOMS,,,EQ,
DRREDDY,Dr Reddys,,EQ,
ECLERX,,,EQ,
EICHERMOT,Eicher Motors,,EQ,
EIDPARRY,,,EQ,
EIHOTEL,,,EQ,
ELECON,,,EQ,
ELGIEQUIP,,,EQ,
EMAMILTD,,,EQ,
EMCURE,,,EQ,
EMMVEE,,,EQ,
ENDURANCE,,,EQ,
ENGINERSIN,,,EQ,
ENRIN,,,EQ,
ERIS,,,EQ,
ESCORTS,,,EQ,
ETERNAL,,,EQ,
EXIDEIND,,,EQ,
FACT,,,EQ,
FEDERALBNK,,,EQ,
FINCABLES,,,EQ,
FINPIPE,,,EQ,
FIRSTCRY,,,EQ,
FIVESTAR,,,EQ,
FLUOROCHEM,,,EQ,
FORCEMOT,,,EQ,
FORTIS,,,EQ,
FSL,,,EQ,
GABRIEL,,,EQ,
GAIL,,,EQ,
GALLANTT,,,EQ,
GESHIP,,,EQ,
GICRE,,,EQ,
GILLETTE,,,EQ,
GLAND,,,EQ,
GLAXO,,,EQ,
GLENMARK,,,EQ,
GMDCLTD,,,EQ,
GMRAIRPORT,,,EQ,
