date,symbol,sentiment_mean,sentiment_count,sentiment_std
2015-01-05,TCS.NS,-1.0,2,0.0
2015-01-06,COALINDIA.NS,1.0,1,0.0
2015-01-07,BHARTIARTL.NS,-1.0,2,0.0
2015-01-11,ADANIENT.NS,0.0,4,0.0
2015-01-11,BHARTIARTL.NS,0.0,1,0.0
2015-01-11,RELIANCE.NS,0.0,2,0.0
2015-01-11,TCS.NS,0.0,1,0.0
2015-01-15,ADANIENT.NS,1.0,1,0.0
2015-01-15,ADANIPORTS.NS,0.0,1,0.0
2015-01-15,LT.NS,1.0,1,0.0
2015-01-20,LT.NS,0.0,1,0.0
2015-01-27,NESTLEIND.NS,-1.0,1,0.0
2015-01-28,COALINDIA.NS,-1.0,1,0.0
2015-01-29,COALINDIA.NS,-1.0,1,0.0
2015-02-04,COALINDIA.NS,-1.0,2,0.0
2015-03-02,RELIANCE.NS,-1.0,1,0.0
2015-03-06,NESTLEIND.NS,0.0,1,0.0
2015-03-11,COALINDIA.NS,0.0,1,0.0
2015-03-11,HINDALCO.NS,-1.0,3,0.0
2015-03-12,COALINDIA.NS,0.0,1,0.0
2015-03-13,ONGC.NS,0.0,2,0.0
2015-03-14,ADANIENT.NS,0.0,1,0.0
2015-03-14,ADANIPORTS.NS,0.0,1,0.0
2015-03-14,COALINDIA.NS,0.0,1,0.0
2015-03-18,INFY.NS,1.0,1,0.0
2015-03-19,NESTLEIND.NS,-1.0,1,0.0
2015-03-20,NESTLEIND.NS,-1.0,1,0.0
2015-03-26,BHARTIARTL.NS,1.0,2,0.0
2015-03-26,BPCL.NS,1.0,2,0.0
2015-03-27,BHARTIARTL.NS,1.0,2,0.0
2015-03-27,COALINDIA.NS,1.0,1,0.0
2015-03-30,ASIANPAINT.NS,1.0,2,0.0
2015-03-30,BHARTIARTL.NS,1.0,2,0.0
2015-03-31,BPCL.NS,0.0,2,0.0
2015-04-06,BHARTIARTL.NS,1.0,1,0.0
2015-04-13,BHARTIARTL.NS,0.0,2,0.0
2015-04-15,COALINDIA.NS,0.0,1,0.0
2015-04-16,BHARTIARTL.NS,0.0,1,0.0
2015-04-18,BHARTIARTL.NS,0.0,1,0.0
2015-04-20,BPCL.NS,0.0,2,0.0
2015-04-20,SUNPHARMA.NS,1.0,2,0.0
2015-04-22,EICHERMOT.NS,0.0,2,0.0
2015-04-27,BPCL.NS,-1.0,2,0.0
2015-04-28,BPCL.NS,1.0,2,0.0
2015-05-04,BHARTIARTL.NS,0.0,2,0.0
2015-05-10,TITAN.NS,0.0,1,0.0
2015-05-14,ASIANPAINT.NS,-1.0,2,0.0
2015-05-14,NESTLEIND.NS,0.0,1,0.0
2015-05-15,BHARTIARTL.NS,0.0,2,0.0
2015-05-18,ASIANPAINT.NS,0.0,2,0.0
2015-05-22,COALINDIA.NS,1.0,1,0.0
2015-05-23,COALINDIA.NS,0.0,1,0.0
2015-05-25,BHARTIARTL.NS,1.0,3,0.0
2015-05-26,COALINDIA.NS,0.0,1,0.0
2015-05-28,BPCL.NS,1.0,2,0.0
2015-05-29,BHARTIARTL.NS,0.0,2,0.0
2015-05-31,NESTLEIND.NS,0.0,1,0.0
2015-06-01,BHARTIARTL.NS,0.0,2,0.0
2015-06-01,NESTLEIND.NS,-1.0,2,0.0
2015-06-02,BHARTIARTL.NS,-1.0,2,0.0
2015-06-03,BHARTIARTL.NS,0.0,2,0.0
2015-06-04,BPCL.NS,-1.0,2,0.0
2015-06-06,ONGC.NS,0.0,1,0.0
2015-06-11,ASIANPAINT.NS,-1.0,2,0.0
2015-06-11,BPCL.NS,0.0,2,0.0
2015-06-16,ADANIENT.NS,0.0,1,0.0
2015-06-16,ADANIPORTS.NS,0.0,1,0.0
2015-06-16,NESTLEIND.NS,1.0,1,0.0
2015-06-17,TECHM.NS,0.0,2,0.0
2015-06-18,BHARTIARTL.NS,-1.0,2,0.0
2015-06-18,BPCL.NS,1.0,2,0.0
2015-06-18,COALINDIA.NS,1.0,1,0.0
2015-06-19,INFY.NS,-1.0,1,0.0
2015-06-19,TCS.NS,0.0,1,0.0
2015-06-21,HINDUNILVR.NS,0.0,2,0.0
2015-06-21,NESTLEIND.NS,0.0,2,0.0
2015-06-22,BHARTIARTL.NS,-1.0,4,0.0
2015-06-22,RELIANCE.NS,0.0,2,0.0
2015-06-23,ADANIENT.NS,-1.0,1,0.0
2015-06-23,ADANIPORTS.NS,0.0,1,0.0
2015-06-24,ADANIENT.NS,0.0,1,0.0
2015-06-24,ADANIPORTS.NS,0.0,1,0.0
2015-06-25,COALINDIA.NS,0.0,1,0.0
2015-06-26,BHARTIARTL.NS,1.0,2,0.0
2015-06-27,RELIANCE.NS,0.0,1,0.0
2015-06-28,CIPLA.NS,0.0,2,0.0
2015-06-28,SUNPHARMA.NS,0.0,2,0.0
2015-06-29,BPCL.NS,0.0,2,0.0
2015-07-02,BHARTIARTL.NS,0.0,2,0.0
2015-07-02,GRASIM.NS,1.0,2,0.0
2015-07-02,ITC.NS,0.0,1,0.0
2015-07-06,BPCL.NS,-1.0,2,0.0
2015-07-06,RELIANCE.NS,0.0,1,0.0
2015-07-07,ASIANPAINT.NS,0.0,2,0.0
2015-07-08,INFY.NS,0.0,1,0.0
