date,symbol,direction,predicted_target,target_touched_intraday,target_before_stop,stop_hit_first
2025-01-01,ADANIPOWER,SHORT,103.96,False,False,False
2025-01-01,ADANIGREEN,SHORT,1018.51,False,False,True
2025-01-01,ATGL,LONG,767.15,False,False,False
2025-01-01,LODHA,SHORT,1355.22,False,False,False
2025-01-01,LUPIN,SHORT,2312.33,False,False,False
2025-01-02,ADANIENT,SHORT,2448.94,False,False,True
2025-01-02,MARICO,LONG,645.76,True,True,False
2025-01-03,CHOLAFIN,SHORT,1257.29,False,False,True
2025-01-03,TRENT,SHORT,7244.27,False,False,True
2025-01-06,NYKAA,SHORT,170.49,True,True,False
2025-01-06,ADANIGREEN,SHORT,1015.25,True,True,False
2025-01-06,CHOLAFIN,SHORT,1294.35,True,False,True
2025-01-06,ATGL,SHORT,708.73,True,True,False
2025-01-06,PAYTM,SHORT,963.79,False,False,True
2025-01-07,MARICO,LONG,660.18,False,False,True
2025-01-07,HINDZINC,LONG,456.24,False,False,False
2025-01-07,NYKAA,LONG,174.63,True,True,False
2025-01-07,ATGL,LONG,722.54,False,False,True
2025-01-07,ADANIGREEN,LONG,1006.43,True,True,False
2025-01-08,MAXHEALTH,SHORT,1196.6,True,True,False
2025-01-08,ADANIPOWER,SHORT,100.82,True,True,False
2025-01-08,LODHA,SHORT,1331.81,True,True,False
2025-01-08,ONGC,SHORT,255.45,False,False,True
2025-01-08,UPL,LONG,550.91,False,False,True
2025-01-09,PAYTM,SHORT,877.69,False,False,True
2025-01-09,SRF,SHORT,2443.48,False,False,True
2025-01-09,TRENT,SHORT,6566.17,False,False,False
2025-01-09,POLYCAB,SHORT,6845.46,True,True,False
2025-01-09,MAXHEALTH,SHORT,1180.87,False,False,True
2025-01-10,ATGL,SHORT,678.47,True,False,True
2025-01-10,SRF,LONG,2613.87,True,True,False
2025-01-10,LODHA,SHORT,1282.87,True,True,False
2025-01-10,TCS,SHORT,4095.38,False,False,True
2025-01-10,NAUKRI,SHORT,1545.22,False,False,True
2025-01-13,PAYTM,SHORT,801.21,True,True,False
2025-01-13,SHRIRAMFIN,SHORT,513.36,False,False,True
2025-01-13,IDBI,SHORT,66.46,True,True,False
2025-01-13,ATGL,SHORT,654.55,True,True,False
2025-01-13,PFC,SHORT,385.54,False,False,True
2025-01-14,PAYTM,LONG,818.67,True,True,False
2025-01-14,LODHA,LONG,1201.23,False,False,True
2025-01-14,UNITDSPR,LONG,1506.46,False,False,True
2025-01-14,ATGL,LONG,655.18,True,True,False
2025-01-14,NAUKRI,SHORT,1422.66,False,False,True
2025-01-15,IDBI,LONG,79.87,False,False,True
2025-01-15,ADANIGREEN,SHORT,1008.42,False,False,True
2025-01-15,ADANIPOWER,SHORT,104.8,True,True,False
2025-01-15,PAYTM,SHORT,800.04,False,False,True
2025-01-15,ATGL,SHORT,655.97,False,False,True
2025-01-16,ADANIGREEN,SHORT,1072.92,True,False,True
2025-01-16,ADANIPOWER,SHORT,113.47,True,False,True
2025-01-16,ATGL,SHORT,678.16,True,False,True
2025-01-16,PAYTM,SHORT,857.29,False,False,True
2025-01-16,INDUSTOWER,SHORT,353.67,True,True,False
2025-01-17,ADANIPOWER,SHORT,108.21,False,False,True
2025-01-17,IDBI,SHORT,76.62,False,False,True
2025-01-17,ADANIGREEN,SHORT,1050.33,False,False,False
2025-01-17,ATGL,SHORT,664.63,False,False,False
2025-01-17,ADANIENT,SHORT,2322.05,True,True,False
2025-01-20,ADANIPOWER,SHORT,106.07,False,False,False
2025-01-20,IDBI,SHORT,81.64,False,False,True
2025-01-20,INDUSTOWER,SHORT,366.36,False,False,True
2025-01-20,LODHA,SHORT,1148.91,False,False,True
2025-01-20,WIPRO,SHORT,287.38,False,False,True
2025-01-21,IDBI,SHORT,83.49,True,True,False
2025-01-21,INDUSTOWER,SHORT,364.16,True,True,False
2025-01-21,PAYTM,SHORT,880.66,True,False,True
2025-01-21,SHRIRAMFIN,SHORT,506.77,False,False,True
2025-01-21,ADANIGREEN,SHORT,1039.89,True,True,False
2025-01-22,IDBI,SHORT,80.81,True,True,False
2025-01-22,ICICIPRULI,LONG,634.03,False,False,True
2025-01-22,MAXHEALTH,LONG,1098.48,False,False,True
2025-01-22,PAYTM,SHORT,831.6,True,True,False
2025-01-22,TRENT,SHORT,5610.11,True,True,False
2025-01-23,LODHA,LONG,1110.12,False,False,False
2025-01-23,IDBI,SHORT,78.61,False,False,True
2025-01-23,NAUKRI,LONG,1472.65,True,True,False
2025-01-23,POLYCAB,SHORT,6044.05,False,False,True
2025-01-23,CHOLAFIN,LONG,1279.53,False,False,True
2025-01-24,UNITDSPR,SHORT,1504.24,True,True,False
2025-01-24,ULTRACEMCO,LONG,11485.72,True,True,False
2025-01-24,ADANIGREEN,SHORT,1016.36,True,False,True
2025-01-24,POLYCAB,SHORT,6167.71,True,False,True
2025-01-24,NAUKRI,SHORT,1475.78,False,False,False
2025-01-27,PAYTM,SHORT,761.18,False,False,False
2025-01-27,POLYCAB,SHORT,5694.43,True,True,False
2025-01-27,IDBI,SHORT,74.47,True,True,False
2025-01-27,GODREJPROP,SHORT,2070.66,False,False,True
2025-01-27,TRENT,SHORT,5316.35,False,False,True
2025-01-28,DLF,SHORT,696.83,False,False,True
2025-01-28,PFC,SHORT,385.58,True,True,False
2025-01-28,CHOLAFIN,SHORT,1168.26,False,False,True
2025-01-28,IDBI,SHORT,78.62,True,True,False
2025-01-28,GODREJPROP,SHORT,2063.36,False,False,True
2025-01-29,MAXHEALTH,LONG,1035.42,False,False,True
2025-01-29,HINDZINC,SHORT,429.72,False,False,True
2025-01-29,LODHA,LONG,1134.52,True,True,False
2025-01-29,SIEMENS,LONG,4432.3,True,True,False
2025-01-29,POLYCAB,SHORT,5569.34,False,False,True
2025-01-30,PAYTM,LONG,825.54,False,False,True
2025-01-30,NAUKRI,LONG,1519.21,True,True,False
2025-01-30,AMBUJACEM,SHORT,518.58,True,True,False
2025-01-30,TRENT,LONG,5701.62,False,False,True
2025-01-30,GODREJPROP,LONG,2271.35,True,True,False
2025-01-31,JINDALSTEL,LONG,815.81,False,False,True
2025-01-31,BAJAJFINSV,LONG,1757.68,False,False,False
2025-01-31,PAYTM,LONG,793.32,False,False,False
2025-01-31,ATGL,LONG,654.73,False,False,False
2025-01-31,ADANIENT,LONG,2220.55,True,False,True
2025-02-01,JINDALSTEL,LONG,815.58,False,False,True
2025-02-01,INDUSINDBK,LONG,999.45,True,True,False
2025-02-01,GODREJPROP,LONG,2370.09,True,False,True
2025-02-01,SUNPHARMA,LONG,1778.04,True,True,False
2025-02-01,PAYTM,LONG,791.63,False,False,True
2025-02-03,HAL,LONG,3880.82,False,False,True
2025-02-03,PAYTM,LONG,762.24,True,False,True
2025-02-03,LODHA,LONG,1295.72,True,False,True
2025-02-03,BEL,LONG,287.82,False,False,True
2025-02-03,PFC,LONG,413.09,False,False,True
2025-02-04,MOTHERSON,SHORT,88.74,False,False,True
2025-02-04,PFC,SHORT,384.73,False,False,True
2025-02-04,LODHA,LONG,1314.33,False,False,False
2025-02-04,ABB,SHORT,5126.55,False,False,True
2025-02-04,ADANIPOWER,SHORT,99.97,False,False,False
2025-02-05,ABB,SHORT,5525.61,False,False,True
2025-02-05,GODREJPROP,SHORT,2393.81,True,False,True
2025-02-05,ASIANPAINT,LONG,2321.06,False,False,True
2025-02-05,CHOLAFIN,SHORT,1371.89,False,False,False
2025-02-05,TRENT,SHORT,5648.12,False,False,True
2025-02-06,NAUKRI,SHORT,1579.85,False,False,True
2025-02-06,PAGEIND,LONG,46559.04,False,False,True
2025-02-06,GODREJPROP,SHORT,2264.1,True,True,False
2025-02-06,LODHA,LONG,1282.07,False,False,True
2025-02-06,DLF,SHORT,773.26,True,True,False
