date,symbol,direction,predicted_target,target_touched_intraday,target_before_stop,stop_hit_first
2025-01-01,ATGL,LONG,772.1,False,False,False
2025-01-01,ADANIGREEN,SHORT,1016.08,False,False,True
2025-01-01,ADANIPOWER,SHORT,103.89,False,False,False
2025-01-01,LODHA,SHORT,1354.95,False,False,False
2025-01-01,ADANIENT,SHORT,2415.13,False,False,True
2025-01-02,MARICO,LONG,647.54,True,True,False
2025-01-02,ADANIENT,SHORT,2446.66,False,False,True
2025-01-03,CHOLAFIN,SHORT,1256.23,False,False,True
2025-01-03,TRENT,SHORT,7230.23,False,False,True
2025-01-03,ONGC,SHORT,238.59,False,False,True
2025-01-03,COLPAL,SHORT,2775.93,False,False,False
2025-01-03,UNITDSPR,SHORT,1673.19,True,True,False
2025-01-06,NYKAA,SHORT,170.52,True,True,False
2025-01-06,HINDZINC,SHORT,461.26,True,True,False
2025-01-06,CHOLAFIN,SHORT,1290.97,True,False,True
2025-01-06,ATGL,SHORT,707.24,True,True,False
2025-01-06,PFC,SHORT,457.33,True,True,False
2025-01-07,ADANIGREEN,LONG,1013.56,True,True,False
2025-01-07,ADANIPOWER,LONG,102.14,True,True,False
2025-01-07,ATGL,LONG,724.06,False,False,True
2025-01-07,HINDZINC,LONG,457.03,False,False,False
2025-01-07,MARICO,LONG,659.15,False,False,True
2025-01-08,LODHA,SHORT,1329.35,True,True,False
2025-01-08,MAXHEALTH,SHORT,1196.29,True,True,False
2025-01-08,ADANIPOWER,SHORT,100.93,True,True,False
2025-01-08,ONGC,SHORT,255.49,False,False,True
2025-01-08,INDIGO,SHORT,4280.65,True,True,False
2025-01-09,SRF,SHORT,2437.62,False,False,True
2025-01-09,PAYTM,LONG,922.31,False,False,True
2025-01-09,POLYCAB,SHORT,6843.06,True,True,False
2025-01-09,MAXHEALTH,SHORT,1179.64,False,False,True
2025-01-09,LUPIN,SHORT,2230.42,False,False,False
2025-01-10,SRF,LONG,2626.1,False,False,False
2025-01-10,ATGL,SHORT,678.78,True,False,True
2025-01-10,LODHA,SHORT,1284.84,True,True,False
2025-01-10,TCS,SHORT,4099.14,False,False,True
2025-01-10,MAXHEALTH,SHORT,1182.85,True,True,False
2025-01-13,ATGL,SHORT,653.26,True,True,False
2025-01-13,PAYTM,SHORT,801.95,True,True,False
2025-01-13,GODREJPROP,SHORT,2289.62,True,True,False
2025-01-13,SHRIRAMFIN,SHORT,514.51,False,False,True
2025-01-13,MAXHEALTH,SHORT,1088.46,True,True,False
2025-01-14,LODHA,LONG,1215.08,False,False,True
2025-01-14,ATGL,LONG,663.39,True,True,False
2025-01-14,ADANIGREEN,LONG,927.16,True,True,False
2025-01-14,ADANIPOWER,LONG,95.0,True,True,False
2025-01-14,GODREJPROP,LONG,2324.47,False,False,False
2025-01-15,ADANIPOWER,SHORT,104.9,True,True,False
2025-01-15,ADANIGREEN,SHORT,1010.12,False,False,True
2025-01-15,IDBI,LONG,76.97,False,False,True
2025-01-15,ATGL,LONG,689.55,False,False,True
2025-01-15,PFC,SHORT,414.44,False,False,True
2025-01-16,ADANIPOWER,SHORT,113.01,True,False,True
2025-01-16,ATGL,SHORT,675.08,True,False,True
2025-01-16,ADANIGREEN,SHORT,1074.96,True,False,True
2025-01-16,PAYTM,SHORT,853.97,False,False,True
2025-01-16,INDUSTOWER,SHORT,352.71,False,False,False
2025-01-17,ADANIPOWER,SHORT,109.33,True,False,True
2025-01-17,ADANIGREEN,SHORT,1050.1,False,False,False
2025-01-17,IDBI,SHORT,76.96,False,False,True
2025-01-17,LTIM,LONG,5996.1,False,False,True
2025-01-17,ATGL,SHORT,664.67,False,False,False
2025-01-20,IDBI,SHORT,81.57,False,False,True
2025-01-20,ADANIPOWER,SHORT,107.11,False,False,False
