date,symbol,direction,confidence,score,predicted_magnitude,entry_price,exit_price,exit_reason,gross_pct,net_pnl,max_profit_pct,max_drawdown_pct
2025-01-01,ATGL,LONG,0.7374,0.020724,0.028102,751.0,755.3,TRAILING,0.005732,78.23,0.010786,-0.007989
2025-01-01,ADANIGREEN,SHORT,0.773,0.018284,0.023653,1040.7,1051.11,STOP,-0.01,-236.4,0.001682,-0.011387
2025-01-01,ADANIPOWER,SHORT,0.8193,0.017833,0.021767,106.2,105.52,TRAILING,0.006356,90.72,0.011299,-0.001412
2025-01-01,LODHA,SHORT,0.7293,0.014276,0.019573,1382.0,1371.2,3PM,0.007815,119.9,0.010854,-0.00843
2025-01-01,ADANIENT,SHORT,0.7486,0.013235,0.01768,2458.6,2483.19,STOP,-0.01,-236.4,0.003335,-0.012487
2025-01-02,MARICO,LONG,0.6655,0.012821,0.019264,635.3,644.83,TARGET,0.015,263.6,0.015819,0.0
2025-01-02,ADANIENT,SHORT,0.6991,0.011451,0.01638,2487.4,2477.93,TRAILING,0.003808,39.76,0.008764,-0.000121
2025-01-03,CHOLAFIN,SHORT,0.7393,0.013159,0.0178,1279.0,1291.79,STOP,-0.01,-236.4,0.006607,-0.010399
2025-01-03,TRENT,SHORT,0.6891,0.011229,0.016295,7350.0,7423.5,STOP,-0.01,-236.4,0.005707,-0.01019
2025-01-03,ONGC,SHORT,0.6838,0.011018,0.016113,242.5,244.93,STOP,-0.01,-236.4,0.001856,-0.010103
2025-01-03,COLPAL,SHORT,0.7017,0.010917,0.015558,2819.8,2805.11,TRAILING,0.005211,67.82,0.01016,-0.000532
2025-01-03,UNITDSPR,SHORT,0.6832,0.010773,0.015769,1700.0,1691.77,TRAILING,0.004843,60.46,0.009794,0.0
2025-01-06,NYKAA,SHORT,0.8018,0.020919,0.026091,175.09,172.46,TARGET,0.015,263.6,0.015592,-0.008624
2025-01-06,HINDZINC,SHORT,0.793,0.020001,0.025223,473.2,466.1,TARGET,0.015,263.6,0.018702,0.0
2025-01-06,CHOLAFIN,SHORT,0.7965,0.019867,0.024944,1324.0,1337.24,STOP,-0.01,-236.4,0.002228,-0.011858
2025-01-06,ATGL,SHORT,0.7962,0.019556,0.02456,725.05,722.24,TRAILING,0.003871,41.02,0.008827,-0.00131
2025-01-06,PFC,SHORT,0.8038,0.018832,0.023429,468.3,465.31,TRAILING,0.006374,91.08,0.011318,0.0
2025-01-07,ADANIGREEN,LONG,0.8028,0.021643,0.026958,986.95,992.36,TRAILING,0.005485,73.3,0.010538,-0.000963
2025-01-07,ADANIPOWER,LONG,0.8162,0.019158,0.023474,99.8,100.1,TRAILING,0.002976,23.12,0.008016,-0.003006
2025-01-07,ATGL,LONG,0.7887,0.018063,0.022903,707.85,710.33,TRAILING,0.003504,33.69,0.008547,-0.004026
2025-01-07,HINDZINC,LONG,0.7855,0.017618,0.022428,447.0,449.24,TRAILING,0.005017,63.94,0.010067,0.0
2025-01-07,MARICO,LONG,0.7738,0.016605,0.021459,645.3,648.09,TRAILING,0.004329,50.17,0.009375,-0.001937
2025-01-08,LODHA,SHORT,0.8216,0.017928,0.021821,1359.0,1352.73,TRAILING,0.004614,55.87,0.009566,0.0
2025-01-08,MAXHEALTH,SHORT,0.7962,0.015539,0.019516,1220.1,1213.54,TRAILING,0.005379,71.17,0.010327,-0.000697
2025-01-08,ADANIPOWER,SHORT,0.7618,0.014582,0.019141,102.9,101.36,TARGET,0.015,263.6,0.015063,0.0
2025-01-08,ONGC,SHORT,0.7644,0.013551,0.017728,260.1,262.7,STOP,-0.01,-236.4,0.001346,-0.014994
2025-01-08,INDIGO,SHORT,0.7089,0.011671,0.016463,4352.3,4331.55,TRAILING,0.004768,58.95,0.009719,0.0
