date,symbol,direction,predicted_target,target_touched_intraday,target_before_stop,stop_hit_first
2025-01-01,COHANCE,LONG,1150.32,False,False,True
2025-01-01,ITI,SHORT,377.41,False,False,True
2025-01-01,TARIL,SHORT,579.91,False,False,False
2025-01-01,SAGILITY,LONG,50.07,False,False,True
2025-01-01,GICRE,SHORT,422.53,False,False,True
2025-01-02,SAGILITY,LONG,49.4,True,True,False
2025-01-02,GODFRYPHLP,LONG,1745.48,True,True,False
2025-01-02,COHANCE,LONG,1146.53,False,False,True
2025-01-02,BBTC,LONG,2304.45,False,False,False
2025-01-02,CENTURYPLY,LONG,817.34,True,False,True
2025-01-03,SUNDARMFIN,LONG,4895.09,False,False,True
2025-01-03,CENTURYPLY,LONG,866.0,True,False,True
2025-01-03,SAGILITY,SHORT,50.26,False,False,True
2025-01-03,TBOTEK,LONG,1828.2,False,False,False
2025-01-03,WOCKPHARMA,SHORT,1475.68,False,False,True
2025-01-06,ITI,LONG,503.36,True,True,False
2025-01-06,LLOYDSME,SHORT,1392.57,True,True,False
2025-01-06,TARIL,SHORT,617.8,True,True,False
2025-01-06,BLUEJET,SHORT,593.85,True,True,False
2025-01-06,PTCIL,SHORT,14052.96,False,False,True
2025-01-07,ITI,LONG,610.3,False,False,True
2025-01-07,HEG,LONG,505.23,False,False,False
2025-01-07,DCMSHRIRAM,LONG,1092.84,False,False,False
2025-01-07,SUZLON,LONG,60.51,True,True,False
2025-01-07,AEGISLOG,LONG,894.43,True,True,False
2025-01-08,ITI,LONG,496.04,True,False,True
2025-01-08,AEGISLOG,SHORT,990.5,True,True,False
2025-01-08,PTCIL,SHORT,16281.53,True,True,False
2025-01-08,OLAELEC,LONG,79.67,True,False,True
2025-01-08,BLUEJET,SHORT,601.54,True,True,False
2025-01-09,ITI,SHORT,463.26,True,False,True
2025-01-09,PTCIL,SHORT,16646.54,False,False,True
2025-01-09,BLUESTARCO,LONG,2152.81,False,False,True
2025-01-09,SWIGGY,SHORT,488.87,False,False,True
2025-01-09,CREDITACC,SHORT,986.04,False,False,True
2025-01-10,ALKYLAMINE,LONG,1904.62,False,False,True
2025-01-10,NAVINFLUOR,LONG,3835.22,False,False,True
2025-01-10,TECHNOE,LONG,1513.79,False,False,True
2025-01-10,KIRLOSBROS,LONG,2201.35,False,False,True
2025-01-10,TARIL,LONG,600.56,False,False,True
2025-01-13,PTCIL,SHORT,16550.38,True,True,False
2025-01-13,AEGISLOG,SHORT,802.71,True,False,True
2025-01-13,ITI,SHORT,423.08,True,True,False
2025-01-13,SHYAMMETL,SHORT,750.55,True,True,False
2025-01-13,SYRMA,SHORT,554.97,True,False,True
2025-01-14,ABREL,LONG,2030.52,False,False,False
2025-01-14,SARDAEN,LONG,460.49,False,False,True
2025-01-14,ACE,LONG,1335.24,False,False,True
2025-01-14,PCBL,LONG,373.77,False,False,True
2025-01-14,KIRLOSBROS,LONG,2059.26,False,False,True
2025-01-15,ITI,LONG,430.3,False,False,True
2025-01-15,TARIL,LONG,534.21,False,False,True
2025-01-15,CREDITACC,LONG,961.8,False,False,True
2025-01-15,KFINTECH,LONG,1225.67,True,False,True
2025-01-15,UCOBANK,LONG,45.63,False,False,True
2025-01-16,ITI,LONG,401.98,False,False,True
2025-01-16,OFSS,LONG,10154.91,True,True,False
2025-01-16,AIIL,LONG,359.29,True,False,True
2025-01-16,CEATLTD,LONG,3028.28,True,False,True
2025-01-16,KALYANKJIL,LONG,581.92,False,False,True
2025-01-17,ITI,LONG,403.31,False,False,True
2025-01-17,OFSS,LONG,10150.38,False,False,False
2025-01-17,IRCON,LONG,223.51,True,True,False
2025-01-17,JWL,LONG,501.18,False,False,True
2025-01-17,KALYANKJIL,LONG,556.6,False,False,True
2025-01-20,KALYANKJIL,SHORT,509.11,False,False,True
2025-01-20,IDBI,SHORT,81.57,False,False,True
2025-01-20,NETWEB,LONG,2370.56,False,False,True
2025-01-20,NBCC,SHORT,93.78,False,False,True
2025-01-20,BLS,SHORT,485.39,True,False,True
2025-01-21,ETERNAL,LONG,234.07,False,False,True
2025-01-21,MAZDOCK,SHORT,2384.95,True,False,True
2025-01-21,IDEA,SHORT,9.63,True,True,False
2025-01-21,JBMA,SHORT,764.87,True,False,True
2025-01-21,TTML,SHORT,78.01,True,True,False
2025-01-22,KALYANKJIL,LONG,517.06,False,False,True
2025-01-22,NEWGEN,LONG,1399.62,False,False,True
2025-01-22,ETERNAL,LONG,216.85,True,False,True
2025-01-22,MOTILALOFS,LONG,773.46,False,False,True
2025-01-22,ITI,LONG,379.12,False,False,True
2025-01-23,NEWGEN,LONG,1272.23,False,False,False
2025-01-23,AEGISLOG,LONG,750.16,False,False,True
2025-01-23,KAYNES,LONG,5648.48,True,True,False
2025-01-23,POWERINDIA,LONG,12285.58,False,False,False
2025-01-23,ITI,LONG,367.46,True,False,True
2025-01-24,TEJASNET,LONG,1096.84,False,False,True
2025-01-24,CYIENT,LONG,1689.08,False,False,True
2025-01-24,SONACOMS,LONG,532.69,True,True,False
2025-01-24,DCMSHRIRAM,LONG,1191.93,False,False,True
2025-01-24,NETWEB,LONG,1977.13,False,False,True
2025-01-27,CREDITACC,LONG,895.13,True,False,True
2025-01-27,NEWGEN,LONG,1133.65,False,False,True
2025-01-27,PGEL,LONG,749.92,False,False,True
2025-01-27,AEGISLOG,SHORT,642.58,True,False,True
2025-01-27,TARIL,LONG,471.71,False,False,False
2025-01-28,ANANTRAJ,LONG,649.55,True,True,False
2025-01-28,NETWEB,LONG,1644.66,False,False,True
2025-01-28,KAYNES,LONG,5082.87,False,False,True
2025-01-28,NUVAMA,LONG,1057.2,True,False,True
2025-01-28,SYRMA,LONG,456.52,False,False,True
2025-01-29,MOTILALOFS,LONG,648.02,True,False,True
2025-01-29,UTIAMC,LONG,1082.67,False,False,True
2025-01-29,TARIL,LONG,436.19,True,False,True
2025-01-29,APARINDS,LONG,7541.5,False,False,True
2025-01-29,POWERINDIA,LONG,9962.62,True,False,True
2025-01-30,UTIAMC,LONG,1094.49,False,False,True
2025-01-30,JWL,LONG,401.85,True,False,True
2025-01-30,SCHNEIDER,LONG,695.48,False,False,True
2025-01-30,CREDITACC,LONG,1094.62,False,False,False
2025-01-30,WHIRLPOOL,LONG,1323.97,False,False,False
2025-01-31,PRAJIND,LONG,657.14,False,False,True
2025-01-31,MOTILALOFS,LONG,657.92,False,False,False
2025-01-31,MANYAVAR,LONG,1078.95,False,False,True
2025-01-31,VOLTAS,LONG,1340.12,False,False,True
2025-01-31,ANANTRAJ,LONG,597.76,True,False,True
2025-02-01,CREDITACC,LONG,1105.26,False,False,True
2025-02-01,ANANTRAJ,LONG,637.35,True,True,False
2025-02-01,MANYAVAR,LONG,992.0,False,False,True
2025-02-01,MINDACORP,LONG,580.79,False,False,False
2025-02-01,GVTD,LONG,1807.36,True,True,False
2025-02-03,POWERINDIA,LONG,12482.47,False,False,True
2025-02-03,JWL,LONG,396.31,False,False,True
2025-02-03,RVNL,LONG,443.61,False,False,True
2025-02-03,IRCON,LONG,205.28,False,False,True
2025-02-03,INOXWIND,LONG,175.9,False,False,True
2025-02-04,COHANCE,LONG,1114.78,True,True,False
2025-02-04,SAPPHIRE,LONG,332.85,False,False,True
2025-02-04,SYRMA,SHORT,540.73,False,False,True
2025-02-04,POWERINDIA,SHORT,11621.11,True,False,True
2025-02-04,NETWEB,SHORT,1681.3,True,True,False
2025-02-05,BASF,LONG,4297.36,True,True,False
2025-02-05,TRITURBINE,LONG,601.32,False,False,False
2025-02-05,JKTYRE,LONG,313.63,True,False,True
2025-02-05,TECHNOE,LONG,1125.88,True,True,False
2025-02-05,TRIVENI,LONG,379.95,True,True,False
2025-02-06,ERIS,LONG,1214.58,True,True,False
2025-02-06,DOMS,LONG,2907.73,False,False,True
2025-02-06,SWIGGY,LONG,406.46,True,False,True
2025-02-06,DATAPATTNS,LONG,2070.49,False,False,True
2025-02-06,COHANCE,LONG,1152.72,True,True,False
2025-02-07,COCHINSHIP,LONG,1401.52,False,False,False
2025-02-07,BIKAJI,LONG,709.21,False,False,True
2025-02-07,SONATSOFTW,LONG,485.92,True,False,True
2025-02-07,NCC,LONG,231.36,False,False,True
2025-02-07,GLAXO,LONG,2289.31,False,False,True
2025-02-10,APLLTD,LONG,868.93,True,True,False
2025-02-10,FIRSTCRY,SHORT,441.45,True,True,False
2025-02-10,ERIS,SHORT,1415.32,True,True,False
2025-02-10,ZFCVINDIA,LONG,11940.04,True,True,False
2025-02-10,PGEL,SHORT,849.82,True,True,False
2025-02-11,HBLENGINE,LONG,497.58,False,False,True
2025-02-11,EIHOTEL,LONG,371.12,False,False,True
2025-02-11,SWIGGY,SHORT,356.11,True,True,False
2025-02-11,ACMESOLAR,SHORT,210.93,True,True,False
2025-02-11,SAGILITY,LONG,50.11,False,False,True
2025-02-12,WOCKPHARMA,LONG,1461.71,True,False,True
2025-02-12,KIRLOSENG,LONG,779.92,True,False,True
2025-02-12,SWIGGY,LONG,353.58,False,False,True
2025-02-12,NAVA,LONG,394.3,False,False,True
2025-02-12,BIKAJI,LONG,629.76,False,False,True
2025-02-13,IDEA,LONG,8.51,True,True,False
2025-02-13,VIJAYA,LONG,1042.27,False,False,True
2025-02-13,NATCOPHARM,LONG,1091.12,False,False,True
2025-02-13,VENTIVE,LONG,701.38,True,False,True
2025-02-13,KFINTECH,SHORT,978.71,True,True,False
2025-02-14,CONCORDBIO,LONG,2123.48,False,False,True
2025-02-14,BLUEJET,LONG,775.98,False,False,True
2025-02-14,WOCKPHARMA,LONG,1482.65,False,False,True
2025-02-14,TITAGARH,LONG,849.27,False,False,True
2025-02-14,NATCOPHARM,LONG,993.22,False,False,True
2025-02-17,ZENTEC,LONG,1282.95,False,False,True
2025-02-17,GODFRYPHLP,SHORT,1835.27,False,False,True
2025-02-17,NAVA,SHORT,352.71,False,False,True
2025-02-17,RKFORGE,SHORT,602.51,False,False,True
2025-02-17,BLUEJET,SHORT,716.91,False,False,False
2025-02-18,ZENTEC,LONG,1130.55,False,False,True
