date,symbol,direction,predicted_target,target_touched_intraday,target_before_stop,stop_hit_first
2026-01-01,IDEA,SHORT,10.84,True,True,False
2026-01-01,HINDCOPPER,SHORT,507.77,False,False,True
2026-01-01,AIIL,SHORT,614.1,False,False,True
2026-01-01,HEG,SHORT,611.52,False,False,True
2026-01-01,VENTIVE,SHORT,750.59,True,True,False
2026-01-02,GODFRYPHLP,LONG,2399.28,False,False,True
2026-01-02,SAPPHIRE,LONG,266.29,False,False,True
2026-01-02,MMTC,LONG,67.3,True,True,False
2026-01-02,GRAPHITE,LONG,659.67,True,True,False
2026-01-02,DEVYANI,SHORT,150.97,True,False,True
2026-01-05,TARIL,SHORT,326.17,True,True,False
2026-01-05,OLAELEC,SHORT,40.01,True,False,True
2026-01-05,GSPL,LONG,319.92,True,True,False
2026-01-05,JBMA,LONG,678.42,False,False,True
2026-01-05,MMTC,SHORT,65.86,False,False,True
2026-01-06,OLAELEC,SHORT,42.4,True,False,True
2026-01-06,HINDCOPPER,SHORT,551.52,False,False,True
2026-01-06,JUBLINGREA,LONG,758.34,False,False,False
2026-01-06,IDBI,LONG,112.0,False,False,True
2026-01-06,MSUMI,SHORT,51.59,True,False,True
2026-01-07,OLAELEC,SHORT,42.16,True,False,True
2026-01-07,TARIL,SHORT,307.75,False,False,True
2026-01-07,HINDCOPPER,SHORT,561.22,True,True,False
2026-01-07,JUBLINGREA,LONG,748.3,True,True,False
2026-01-07,MMFIN,LONG,381.38,False,False,True
2026-01-08,OLAELEC,SHORT,40.93,True,True,False
2026-01-08,TARIL,SHORT,314.54,True,True,False
2026-01-08,IEX,LONG,156.59,False,False,True
2026-01-08,MMTC,SHORT,65.69,True,False,True
2026-01-08,JBMA,SHORT,642.05,True,True,False
2026-01-09,TARIL,SHORT,282.33,True,True,False
2026-01-09,JWL,SHORT,288.14,False,False,True
2026-01-09,OLAELEC,SHORT,38.12,False,False,True
2026-01-09,MMTC,SHORT,61.98,False,False,False
2026-01-09,RVNL,SHORT,326.0,False,False,True
2026-01-12,TARIL,SHORT,262.54,True,True,False
2026-01-12,IDEA,SHORT,10.84,False,False,False
2026-01-12,JWL,SHORT,280.92,False,False,True
2026-01-12,GMDCLTD,SHORT,528.72,False,False,True
2026-01-12,HFCL,SHORT,61.96,False,False,False
2026-01-13,TARIL,LONG,280.97,False,False,True
2026-01-13,OLAELEC,LONG,40.97,False,False,True
2026-01-13,TRIVENI,LONG,355.71,False,False,True
2026-01-13,ELECON,LONG,430.25,False,False,True
2026-01-13,MAHSCOOTER,LONG,13142.07,True,True,False
2026-01-14,RAILTEL,LONG,344.0,True,True,False
2026-01-14,IFCI,LONG,58.81,False,False,True
2026-01-14,ELECON,SHORT,389.51,False,False,False
2026-01-14,HEG,SHORT,537.18,False,False,True
