date,symbol,direction,predicted_target,target_touched_intraday,target_before_stop,stop_hit_first
2025-01-06,ITC,SHORT,449.28,True,True,False
2025-01-06,BAJFINANCE,SHORT,736.63,True,False,True
2025-01-06,SBIN,SHORT,784.51,True,True,False
2025-01-06,TCS,SHORT,4045.34,False,False,True
2025-01-06,INFY,SHORT,1924.39,False,False,True
2025-01-07,BAJFINANCE,LONG,750.33,False,False,False
2025-01-07,ITC,LONG,452.75,False,False,True
2025-01-09,SBIN,SHORT,759.97,True,True,False
2025-01-09,INFY,SHORT,1906.45,False,False,False
2025-01-09,RELIANCE,SHORT,1250.68,True,True,False
2025-01-10,TCS,SHORT,4095.38,False,False,True
2025-01-10,SBIN,SHORT,746.22,True,True,False
2025-01-10,INFY,SHORT,1904.94,False,False,True
2025-01-10,ITC,SHORT,442.29,False,False,False
2025-01-13,SBIN,SHORT,724.14,True,True,False
2025-01-13,TCS,SHORT,4168.6,False,False,True
2025-01-13,INFY,SHORT,1920.38,False,False,True
2025-01-13,BAJFINANCE,SHORT,710.92,False,False,False
2025-01-13,ITC,SHORT,427.88,False,False,True
2025-01-14,BAJFINANCE,SHORT,711.28,False,False,True
2025-01-14,HINDUNILVR,SHORT,2431.01,True,True,False
2025-01-14,SBIN,SHORT,723.15,False,False,True
2025-01-14,ITC,SHORT,435.28,False,False,False
2025-01-14,BHARTIARTL,SHORT,1584.4,True,False,True
2025-01-15,BHARTIARTL,SHORT,1577.0,False,False,False
2025-01-15,SBIN,SHORT,740.22,False,False,False
2025-01-15,HINDUNILVR,SHORT,2333.34,False,False,False
2025-01-17,RELIANCE,SHORT,1297.28,True,True,False
2025-01-20,RELIANCE,SHORT,1290.77,False,False,False
2025-01-20,INFY,SHORT,1797.22,True,True,False
2025-01-21,SBIN,SHORT,772.18,True,True,False
2025-01-21,BAJFINANCE,SHORT,733.22,True,True,False
2025-01-21,BHARTIARTL,SHORT,1632.38,True,True,False
2025-01-22,SBIN,SHORT,751.06,True,True,False
2025-01-22,BAJFINANCE,SHORT,723.91,False,False,True
2025-01-23,HDFCBANK,SHORT,831.77,True,True,False
2025-01-27,SBIN,SHORT,724.93,False,False,True
2025-01-27,BAJFINANCE,SHORT,723.1,False,False,True
2025-01-27,HINDUNILVR,SHORT,2318.63,False,False,True
2025-01-27,ITC,SHORT,432.81,False,False,False
2025-01-27,BHARTIARTL,SHORT,1609.48,True,True,False
2025-01-28,SBIN,SHORT,743.03,False,False,False
2025-01-28,ICICIBANK,SHORT,1224.36,False,False,True
2025-01-28,BAJFINANCE,SHORT,725.83,False,False,True
2025-01-28,INFY,SHORT,1806.54,False,False,True
2025-01-29,BAJFINANCE,SHORT,753.34,False,False,True
2025-01-30,BAJFINANCE,SHORT,773.4,False,False,True
2025-01-31,BAJFINANCE,LONG,806.68,False,False,True
