date,symbol,direction,confidence,score,predicted_magnitude,entry_price,exit_price,exit_reason,gross_pct,net_pnl,max_profit_pct,max_drawdown_pct
2025-01-06,ITC,SHORT,0.7171,0.013647,0.019029,458.0,454.76,TRAILING,0.007069,104.98,0.012009,-0.008188
2025-01-06,BAJFINANCE,SHORT,0.7446,0.013277,0.017832,750.0,757.5,STOP,-0.01,-236.4,0.010667,-0.013333
2025-01-06,SBIN,SHORT,0.6348,0.010265,0.016171,797.4,785.44,TARGET,0.015,263.6,0.0153,-0.000251
2025-01-06,TCS,SHORT,0.6319,0.009259,0.014653,4105.5,4146.56,STOP,-0.01,-236.4,0.001364,-0.010754
2025-01-06,INFY,SHORT,0.6399,0.00905,0.014142,1952.0,1971.52,STOP,-0.01,-236.4,0.003586,-0.010758
2025-01-07,BAJFINANCE,LONG,0.6708,0.013521,0.020157,735.5,737.79,TRAILING,0.003117,25.94,0.008158,0.0
2025-01-07,ITC,LONG,0.6315,0.010281,0.01628,445.5,441.05,STOP,-0.01,-236.4,0.004714,-0.010438
2025-01-09,SBIN,SHORT,0.6012,0.008718,0.014501,771.15,759.58,TARGET,0.015,263.6,0.058225,-0.000259
2025-01-09,INFY,SHORT,0.6023,0.008595,0.014271,1934.05,1927.64,TRAILING,0.003314,29.88,0.012151,-0.009203
2025-01-09,RELIANCE,SHORT,0.6255,0.008058,0.012882,1267.0,1262.93,TRAILING,0.00321,27.79,0.013418,-0.00217
2025-01-10,TCS,SHORT,0.7883,0.019636,0.024909,4200.0,4242.0,STOP,-0.01,-236.4,0.007143,-0.010929
2025-01-10,SBIN,SHORT,0.6475,0.012032,0.018583,760.35,748.94,TARGET,0.015,263.6,0.015848,-0.004011
2025-01-10,INFY,SHORT,0.6895,0.011411,0.016551,1937.0,1956.37,STOP,-0.01,-236.4,0.000516,-0.013165
2025-01-10,ITC,SHORT,0.6266,0.010669,0.017027,449.95,443.2,TARGET,0.015,263.6,0.016557,-0.004556
2025-01-13,SBIN,SHORT,0.7705,0.018039,0.023412,741.5,734.81,TRAILING,0.009028,144.16,0.013958,0.0
