date,symbol,direction,confidence,score,predicted_magnitude,entry_price,exit_price,exit_reason,gross_pct,net_pnl,max_profit_pct,max_drawdown_pct
2025-01-01,ADANIPOWER,SHORT,0.8073,0.017009,0.021069,106.2,105.52,TRAILING,0.006356,90.72,0.011299,-0.001412
2025-01-01,ADANIGREEN,SHORT,0.7702,0.016421,0.02132,1040.7,1051.11,STOP,-0.01,-236.4,0.001682,-0.011387
2025-01-01,ATGL,LONG,0.7367,0.015841,0.021504,751.0,755.3,TRAILING,0.005732,78.23,0.010786,-0.007989
2025-01-01,LODHA,SHORT,0.7027,0.013616,0.019376,1382.0,1371.2,3PM,0.007815,119.9,0.010854,-0.00843
2025-01-01,LUPIN,SHORT,0.7553,0.01337,0.0177,2354.0,2361.8,3PM,-0.003314,-102.67,0.007307,-0.006478
2025-01-02,ADANIENT,SHORT,0.6974,0.010781,0.01546,2487.4,2477.93,TRAILING,0.003808,39.76,0.008764,-0.000121
2025-01-02,MARICO,LONG,0.6534,0.010762,0.01647,635.3,644.83,TARGET,0.015,263.6,0.015819,0.0
2025-01-03,CHOLAFIN,SHORT,0.7101,0.012053,0.016974,1279.0,1291.79,STOP,-0.01,-236.4,0.006607,-0.010399
2025-01-03,TRENT,SHORT,0.6528,0.00939,0.014385,7350.0,7423.5,STOP,-0.01,-236.4,0.005707,-0.01019
2025-01-06,NYKAA,SHORT,0.7973,0.020959,0.026289,175.09,172.46,TARGET,0.015,263.6,0.015592,-0.008624
2025-01-06,ADANIGREEN,SHORT,0.7872,0.017993,0.022856,1039.0,1034.14,TRAILING,0.004673,57.06,0.009625,-0.001444
2025-01-06,CHOLAFIN,SHORT,0.7936,0.017772,0.022393,1324.0,1337.24,STOP,-0.01,-236.4,0.002228,-0.011858
2025-01-06,ATGL,SHORT,0.7815,0.017587,0.022504,725.05,722.24,TRAILING,0.003871,41.02,0.008827,-0.00131
2025-01-06,PAYTM,SHORT,0.7797,0.016793,0.021537,985.0,994.85,STOP,-0.01,-236.4,0.004518,-0.01203
2025-01-07,MARICO,LONG,0.7383,0.017022,0.023057,645.3,648.09,TRAILING,0.004329,50.17,0.009375,-0.001937
2025-01-07,HINDZINC,LONG,0.7091,0.014655,0.020668,447.0,449.24,TRAILING,0.005017,63.94,0.010067,0.0
2025-01-07,NYKAA,LONG,0.6879,0.014309,0.020801,171.07,171.63,TRAILING,0.003259,28.78,0.012451,-0.003507
2025-01-07,ATGL,LONG,0.6706,0.013913,0.020747,707.85,710.33,TRAILING,0.003504,33.69,0.008547,-0.004026
2025-01-07,ADANIGREEN,LONG,0.7033,0.013878,0.019733,986.95,992.36,TRAILING,0.005485,73.3,0.010538,-0.000963
2025-01-08,MAXHEALTH,SHORT,0.7495,0.014439,0.019265,1220.1,1213.54,TRAILING,0.005379,71.17,0.010327,-0.000697
2025-01-08,ADANIPOWER,SHORT,0.7154,0.014427,0.020165,102.9,101.36,TARGET,0.015,263.6,0.015063,0.0
2025-01-08,LODHA,SHORT,0.719,0.014385,0.020006,1359.0,1352.73,TRAILING,0.004614,55.87,0.009566,0.0
2025-01-08,ONGC,SHORT,0.7185,0.012846,0.017879,260.1,262.7,STOP,-0.01,-236.4,0.001346,-0.014994
2025-01-08,UPL,LONG,0.6552,0.011812,0.018028,541.15,535.74,STOP,-0.01,-236.4,0.004158,-0.01081
2025-01-09,PAYTM,SHORT,0.7308,0.018116,0.02479,900.0,909.0,STOP,-0.01,-236.4,0.006222,-0.011111
2025-01-09,SRF,SHORT,0.7948,0.017968,0.022607,2500.0,2525.0,STOP,-0.01,-236.4,0.008,-0.0316
2025-01-09,TRENT,SHORT,0.7486,0.017029,0.022746,6719.0,6618.22,TARGET,0.015,263.6,0.015307,0.0
2025-01-09,POLYCAB,SHORT,0.7693,0.016984,0.022076,7000.0,6895.0,TARGET,0.015,263.6,0.016464,0.0
2025-01-09,MAXHEALTH,SHORT,0.7782,0.016818,0.021611,1206.95,1201.53,TRAILING,0.004493,53.45,0.009445,0.0
2025-01-10,ATGL,SHORT,0.8562,0.026335,0.030758,700.0,707.0,STOP,-0.01,-236.4,0.01,-0.012357
2025-01-10,SRF,LONG,0.7032,0.02416,0.034357,2527.05,2564.96,TARGET,0.015,263.6,0.030431,-0.005797
2025-01-10,LODHA,SHORT,0.8043,0.020252,0.025178,1316.0,1310.52,TRAILING,0.004164,46.88,0.009119,-0.009043
2025-01-10,TCS,SHORT,0.7883,0.019636,0.024909,4200.0,4242.0,STOP,-0.01,-236.4,0.007143,-0.010929
2025-01-10,NAUKRI,SHORT,0.7854,0.018745,0.023866,1583.0,1598.83,STOP,-0.01,-236.4,0.0,-0.01832
2025-01-13,PAYTM,SHORT,0.8473,0.027414,0.032356,828.0,815.58,TARGET,0.015,263.6,0.0157,-0.002114
2025-01-13,SHRIRAMFIN,SHORT,0.8508,0.026788,0.031485,530.05,527.68,TRAILING,0.00448,53.2,0.009433,-0.003679
2025-01-13,IDBI,SHORT,0.8045,0.025662,0.031898,68.65,68.37,TRAILING,0.004076,45.13,0.009031,-0.009468
2025-01-13,ATGL,SHORT,0.8213,0.024879,0.030293,675.0,672.34,TRAILING,0.003933,42.27,0.008889,0.0
2025-01-13,PFC,SHORT,0.8508,0.024763,0.029104,397.1,401.07,STOP,-0.01,-236.4,0.007051,-0.010703
2025-01-14,PAYTM,LONG,0.7488,0.02419,0.032305,793.05,804.95,TARGET,0.015,263.6,0.017212,-6.3e-05
2025-01-14,LODHA,LONG,0.7836,0.024158,0.030831,1165.3,1153.65,STOP,-0.01,-236.4,0.001974,-0.012229
2025-01-14,UNITDSPR,LONG,0.7552,0.022833,0.030234,1462.25,1447.63,STOP,-0.01,-236.4,0.003932,-0.010668
2025-01-14,ATGL,LONG,0.7708,0.021071,0.027337,637.75,641.13,TRAILING,0.005297,69.54,0.010349,-0.003058
2025-01-14,NAUKRI,SHORT,0.761,0.020476,0.026906,1462.0,1476.62,STOP,-0.01,-236.4,0.002736,-0.011286
